BioGRID_Interaction_ID	Entrez_Gene_Interactor_A	Entrez_Gene_Interactor_B	BioGRID_ID_Interactor_A	BioGRID_ID_Interactor_B	Systematic_Name_Interactor_A	Systematic_Name_Interactor_B	Official_Symbol_Interactor_A	Official_Symbol_Interactor_B	Synonyms_Interactor_A	Synonyms_Interactor_B	Experimental_System	Experimental_System_Type	Author	Pubmed_ID	Organism_Interactor_A	Organism_Interactor_B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source_Database
19278	9409	5824	114804	111782	-	OK/SW-cl.22	PEX16	PEX19	PBD8A|PBD8B	D1S2223E|HK33|PBD12A|PMP1|PMPI|PXF|PXMP1	Two-hybrid	physical	Fransen M (2001)	11390669	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
19319	3376	2617	109605	108887	RP11-62C3.1	-	IARS	GARS	IARS1|ILERS|ILRS|IRS|PRO0785	CMT2D|DSMAV|GlyRS|HMN5|SMAD1	Two-hybrid	physical	Rho SB (1996)	8816763	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
19341	27429	1432	118165	107819	-	RP1-179N16.5	HTRA2	MAPK14	OMI|PARK13|PRSS25	CSBP|CSBP1|CSBP2|CSPB1|EXIP|Mxi2|PRKM14|PRKM15|RK|SAPK2A|p38|p38ALPHA	Two-hybrid	physical	Faccio L (2000)	10644717	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
19737	11243	4780	116405	110852	RP11-54H19.4	-	PMF1	NFE2L2	-	NRF2	Two-hybrid	physical	Wang Y (1999)	10419538	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
19740	9451	4780	114840	110852	-	-	EIF2AK3	NFE2L2	PEK|PERK|WRS	NRF2	Two-hybrid	physical	Cullinan SB (2003)	14517290	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
19931	8554	6772	114124	112649	-	-	PIAS1	STAT1	DDXBP1|GBP|GU/RH-II|ZMIZ3	CANDF7|IMD31A|IMD31B|IMD31C|ISGF-3|STAT91	Two-hybrid	physical	Liao J (2000)	10805787	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
20912	4760	9001	110833	114480	-	-	NEUROD1	HAP1	BETA2|BHF-1|MODY6|NEUROD|bHLHa3	HAP2|HIP5|HLP|hHLP1	Two-hybrid	physical	Marcora E (2003)	12881483	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
20917	9001	1639	114480	108007	-	-	HAP1	DCTN1	HAP2|HIP5|HLP|hHLP1	DAP-150|DP-150|P135	Two-hybrid	physical	Li SH (1998)	9454836	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
20921	9001	9146	114480	114593	-	-	HAP1	HGS	HAP2|HIP5|HLP|hHLP1	HRS	Two-hybrid	physical	Li Y (2002)	12021262	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
21218	79947	10577	123018	115828	RP3-476K8.2	-	DHDDS	NPC2	CIT|CPT|DS|HDS|RP59	EDDM1|HE1	Two-hybrid	physical	Kharel Y (2004)	15110773	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
21529	1464	80852	107846	123330	-	-	CSPG4	GRIP2	HMW-MAA|MCSP|MCSPG|MEL-CSPG|MSK16|NG2	-	Two-hybrid	physical	Stegmueller J (2003)	12458226	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
26207	2175	6597	108472	112481	-	-	FANCA	SMARCA4	FA|FA-H|FA1|FAA|FACA|FAH|FANCH	BAF190|BAF190A|BRG1|MRD16|RTPS2|SNF2|SNF2L4|SNF2LB|SWI2|hSNF2b	Two-hybrid	physical	Otsuki T (2001)	11726552	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
26853	10059	2932	115370	109187	-	-	DNM1L	GSK3B	DLP1|DRP1|DVLP|DYMPLE|EMPF|HDYNIV	-	Two-hybrid	physical	Hong YR (1998)	9731200	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
27189	27257	9380	118104	114781	-	RP11-397D12.2	LSM1	GRHPR	CASM|YJL124C	GLXR|GLYD|PH2	Two-hybrid	physical	Lehner B (2004)	15231747	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
27517	8458	81570	114036	123531	-	-	TTF2	CLPB	HuF2|ZGRF6	HSP78|SKD3	Two-hybrid	physical	Leonard D (2003)	12927788	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
27852	9457	9457	114846	114846	RP3-393D12.2	RP3-393D12.2	FHL5	FHL5	ACT|dJ393D12.2	ACT|dJ393D12.2	Two-hybrid	physical	Fimia GM (2000)	11046156	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
29029	79947	4535	123018	110631	RP3-476K8.2	-	DHDDS	ND1	CIT|CPT|DS|HDS|RP59	MTND1	Two-hybrid	physical	Kharel Y (2004)	15110773	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
29255	6714	4536	112592	110632	RP5-823N20.1	-	SRC	ND2	ASV|SRC1|c-SRC|p60-Src	MTND2	Two-hybrid	physical	Gingrich JR (2004)	15069201	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
29443	5187	1407	111210	107797	-	-	PER1	CRY1	PER|RIGUI|hPER	PHLL1	Two-hybrid	physical	Griffin EA (1999)	10531061	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
29447	8864	1407	114387	107797	-	-	PER2	CRY1	FASPS|FASPS1	PHLL1	Two-hybrid	physical	Griffin EA (1999)	10531061	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
29451	406	1407	106899	107797	-	-	ARNTL	CRY1	BMAL1|BMAL1c|JAP3|MOP3|PASD3|TIC|bHLHe5	PHLL1	Two-hybrid	physical	Griffin EA (1999)	10531061	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
29865	118460	23016	125608	116658	-	-	EXOSC6	EXOSC7	EAP4|MTR3|Mtr3p|hMtr3p|p11	EAP1|RRP42|Rrp42p|hRrp42p|p8	Two-hybrid	physical	Raijmakers R (2002)	12419256	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
30250	9261	1912	114683	108234	-	-	MAPKAPK2	PHC2	MAPKAP-K2|MK-2|MK2	EDR2|HPH2|PH2	Two-hybrid	physical	Yannoni YM (2004)	15094067	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
119419	7916	708	113646	107169	DADB-70P7.5	-	PRRC2A	C1QBP	BAT2|D6S51|D6S51E|G2	GC1QBP|HABP1|SF2p32|gC1Q-R|gC1qR|p32	Two-hybrid	physical	Lehner B (2004)	14667819	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
119553	1912	2275	108234	108566	-	-	PHC2	FHL3	EDR2|HPH2|PH2	SLIM2	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
119567	1407	5359	107797	111373	-	-	CRY1	PLSCR1	PHLL1	MMTRA1B	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
119573	293	5359	106790	111373	RP11-261P4.6	-	SLC25A6	PLSCR1	2|3|AAC3|ANT|ANT 2|ANT 3|ANT3|ANT3Y	MMTRA1B	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
119614	2272	2272	108563	108563	-	-	FHIT	FHIT	AP3Aase|FRA3B	AP3Aase|FRA3B	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
119622	26580	55266	117749	120555	-	-	BSCL2	TMEM19	GNG3LG|HMN5|PELD|SPG17	-	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
119629	26580	85027	117749	124436	-	-	BSCL2	SMIM3	GNG3LG|HMN5|PELD|SPG17	C5orf62|MST150|NID67	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
119636	4110	51103	110284	119292	-	CGI-65	MAGEA11	NDUFAF1	CT1.11|MAGE-11|MAGE11|MAGEA-11	CGI65|CIA30	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
119698	293	83755	106790	123756	RP11-261P4.6	-	SLC25A6	KRTAP4-12	2|3|AAC3|ANT|ANT 2|ANT 3|ANT3|ANT3Y	KAP4.12|KRTAP4.12	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
119720	71	1073	106586	107500	-	-	ACTG1	CFL2	ACT|ACTG|BRWS2|DFNA20|DFNA26|HEL-176	NEM7	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
119726	373	80308	106868	123221	-	PP591	TRIM23	FLAD1	ARD1|ARFD1|RNF46	FAD1|FADS	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
119728	26580	55850	117749	120952	-	MDS032	BSCL2	USE1	GNG3LG|HMN5|PELD|SPG17	D12|P31|SLT1	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
119796	10063	84056	115374	123851	-	RP11-374F3.1	COX17	KATNAL1	-	-	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
119800	2130	2194	108431	108488	AC002059.7	-	EWSR1	FASN	EWS|bK984G1.4	FAS|OA-519|SDR27X1	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
119801	56952	80308	121276	123221	RP11-129O7.1	PP591	PRTFDC1	FLAD1	HHGP	FAD1|FADS	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
119871	868	1407	107316	107797	Nbla00127	-	CBLB	CRY1	Cbl-b|RNF56	PHLL1	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
119959	71	1072	106586	107499	-	-	ACTG1	CFL1	ACT|ACTG|BRWS2|DFNA20|DFNA26|HEL-176	CFL|HEL-S-15	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
120006	71	71	106586	106586	-	-	ACTG1	ACTG1	ACT|ACTG|BRWS2|DFNA20|DFNA26|HEL-176	ACT|ACTG|BRWS2|DFNA20|DFNA26|HEL-176	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
120148	10567	56997	115818	121312	-	PP265	RABAC1	ADCK3	PRA1|PRAF1|YIP3	ARCA2|CABC1|COQ10D4|COQ8|SCAR9	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
120153	9319	79092	114730	122540	-	-	TRIP13	CARD14	16E1BP	BIMP2|CARMA2|PRP|PSORS2|PSS1	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
120176	1407	4188	107797	110353	-	RP4-696P19.1	CRY1	MDFI	PHLL1	I-MF|I-mfa	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
120254	1407	83755	107797	123756	-	-	CRY1	KRTAP4-12	PHLL1	KAP4.12|KRTAP4.12	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
120330	2130	4515	108431	110618	AC002059.7	GS1-273L24.4	EWSR1	MTCP1	EWS|bK984G1.4	P13MTCP1|p8MTCP1	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
120454	4188	10922	110353	116126	RP4-696P19.1	-	MDFI	FASTK	I-MF|I-mfa	FAST	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
120542	6890	83755	112753	123756	DAAP-57C1.5	-	TAP1	KRTAP4-12	ABC17|ABCB2|APT1|D6S114E|PSF-1|PSF1|RING4|TAP1*0102N|TAP1N	KAP4.12|KRTAP4.12	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
120611	80308	80308	123221	123221	PP591	PP591	FLAD1	FLAD1	FAD1|FADS	FAD1|FADS	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
120691	10922	11030	116126	116220	-	-	FASTK	RBPMS	FAST	HERMES	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
120803	60	71	106575	106586	-	-	ACTB	ACTG1	BRWS1|PS1TP5BP1	ACT|ACTG|BRWS2|DFNA20|DFNA26|HEL-176	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
120820	1912	1912	108234	108234	-	-	PHC2	PHC2	EDR2|HPH2|PH2	EDR2|HPH2|PH2	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
120911	1912	55885	108234	120977	-	-	PHC2	LMO3	EDR2|HPH2|PH2	RBTN3|RBTNL2|RHOM3|Rhom-3	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
120926	2653	9111	108923	114561	-	-	GCSH	NMI	GCE|NKH	-	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
121114	664	8834	107132	114361	-	-	BNIP3	TMEM11	NIP3	C17orf35|PM1|PMI	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
121323	664	665	107132	107133	-	-	BNIP3	BNIP3L	NIP3	BNIP3a|NIX	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
121398	1468	83755	107850	123756	-	-	SLC25A10	KRTAP4-12	DIC	KAP4.12|KRTAP4.12	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
121413	71	11034	106586	116223	-	-	ACTG1	DSTN	ACT|ACTG|BRWS2|DFNA20|DFNA26|HEL-176	ACTDP|ADF|HEL32|bA462D18.2	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
121426	4184	83755	110350	123756	RP1-13P20.4	-	SMCP	KRTAP4-12	HSMCSGEN1|MCS|MCSP	KAP4.12|KRTAP4.12	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
121439	10241	10922	115535	116126	-	-	CALCOCO2	FASTK	NDP52	FAST	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
121482	1407	7186	107797	113038	-	-	CRY1	TRAF2	PHLL1	MGC:45012|TRAP|TRAP3	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
121498	4188	6890	110353	112753	RP4-696P19.1	DAAP-57C1.5	MDFI	TAP1	I-MF|I-mfa	ABC17|ABCB2|APT1|D6S114E|PSF-1|PSF1|RING4|TAP1*0102N|TAP1N	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
121499	9457	10126	114846	115430	RP3-393D12.2	RP3-327J16.7	FHL5	DNAL4	ACT|dJ393D12.2	MRMV3|PIG27	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
121820	1912	10445	108234	115710	-	-	PHC2	MCRS1	EDR2|HPH2|PH2	ICP22BP|INO80Q|MCRS2|MSP58|P78	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
121965	4184	5359	110350	111373	RP1-13P20.4	-	SMCP	PLSCR1	HSMCSGEN1|MCS|MCSP	MMTRA1B	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
121974	1912	51460	108234	119553	-	-	PHC2	SFMBT1	EDR2|HPH2|PH2	RU1|SFMBT|hSFMBT	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
121995	9807	23016	115147	116658	-	-	IP6K1	EXOSC7	IHPK1|PiUS	EAP1|RRP42|Rrp42p|hRrp42p|p8	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
122027	1911	1912	108233	108234	-	-	PHC1	PHC2	EDR1|HPH1|MCPH11|RAE28	EDR2|HPH2|PH2	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
122092	664	664	107132	107132	-	-	BNIP3	BNIP3	NIP3	NIP3	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
122100	5824	8504	111782	114076	OK/SW-cl.22	RP1-20N2.3	PEX19	PEX3	D1S2223E|HK33|PBD12A|PMP1|PMPI|PXF|PXMP1	PBD10A|TRG18	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
122134	331	842	106828	107292	RP1-315G1.5	RP11-265F14.3	XIAP	CASP9	API3|BIRC4|IAP-3|ILP1|MIHA|XLP2|hIAP-3|hIAP3	APAF-3|APAF3|ICE-LAP6|MCH6|PPP1R56	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
122143	402	5147	106895	111173	-	-	ARL2	PDE6D	ARFL2	JBTS22|PDED	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
122147	578	598	107054	107070	-	RP5-857M17.3	BAK1	BCL2L1	BAK|BAK-LIKE|BCL2L7|CDN1	BCL-XL/S|BCL2L|BCLX|BCLXL|BCLXS|Bcl-X|PPP1R52|bcl-xL|bcl-xS	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
122164	2175	2189	108472	108484	-	-	FANCA	FANCG	FA|FA-H|FA1|FAA|FACA|FAH|FANCH	FAG|XRCC9	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
122166	6271	6275	112179	112183	RP1-178F15.1	-	S100A1	S100A4	S100|S100-alpha|S100A	18A2|42A|CAPL|FSP1|MTS1|P9KA|PEL98	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
126245	578	598	107054	107070	-	RP5-857M17.3	BAK1	BCL2L1	BAK|BAK-LIKE|BCL2L7|CDN1	BCL-XL/S|BCL2L|BCLX|BCLXL|BCLXS|Bcl-X|PPP1R52|bcl-xL|bcl-xS	Affinity Capture-Western	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
126269	71	1073	106586	107500	-	-	ACTG1	CFL2	ACT|ACTG|BRWS2|DFNA20|DFNA26|HEL-176	NEM7	Affinity Capture-Western	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
126325	664	8834	107132	114361	-	-	BNIP3	TMEM11	NIP3	C17orf35|PM1|PMI	Affinity Capture-Western	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
126342	1912	10445	108234	115710	-	-	PHC2	MCRS1	EDR2|HPH2|PH2	ICP22BP|INO80Q|MCRS2|MSP58|P78	Affinity Capture-Western	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
133649	2800	400	109062	106893	RP11-175D17.2	-	GOLGA1	ARL1	golgin-97	ARFL1	Two-hybrid	physical	Lu L (2003)	12972563	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
133655	2803	400	109065	106893	-	-	GOLGA4	ARL1	CRPF46|GCP2|GOLG|MU-RMS-40.18|p230	ARFL1	Two-hybrid	physical	Lu L (2003)	12972563	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
240069	5366	581	111379	107057	-	-	PMAIP1	BAX	APR|NOXA	BCL2L4	Affinity Capture-Western	physical	Sun Y (2005)	15705586	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
241453	373156	10128	131875	115432	HDCMD47P	-	GSTK1	LRPPRC	GST|GST 13-13|GST13|GST13-13|GSTK1-1|hGSTK1	CLONE-23970|GP130|LRP130|LSFC	Affinity Capture-MS	physical	Ewing RM (2007)	17353931	9606	9606	High Throughput	0.68	-	-	Exogenous expression of bait	-	BIOGRID
241472	10921	984	116125	107421	-	-	RNPS1	CDK11B	E5.1	CDC2L1|CDK11|CDK11-p110|CDK11-p46|CDK11-p58|CLK-1|PITSLREA|PK58|p58|p58CDC2L1|p58CLK-1	Affinity Capture-MS	physical	Ewing RM (2007)	17353931	9606	9606	High Throughput	0.623	-	-	Exogenous expression of bait	-	BIOGRID
